reef_name,country,state_province_island,city_town,region,latitude,longitude,year,month,date_substrate,date_temperature,depth..m.,substrate_code,total,errors,sst
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC,9,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC,9,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC,14,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC,12,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/B,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/B,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/B,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/B,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/D,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/D,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/D,0,false,25.60548
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2018,5,2018-05-04,2018-05-16,10,HC/D,0,false,25.60548
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC,11,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC,16,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC,5,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC,5,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/B,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/B,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/B,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/B,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/D,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/D,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/D,0,false,27.962343
Bronco Billy,Virgin Islands (British),,,Atlantic,18.5,-64.5,2005,5,2005-05-04,2005-05-16,3,HC/D,0,false,27.962343
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC,2,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC,2,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC,2,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC,2,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/B,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/B,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/B,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/B,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/D,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/D,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/D,0,false,27.291107
"George Dog ""Bronco Billy""",Virgin Islands (British),,,Atlantic,18.5,-64.5,2004,5,2004-05-19,2004-05-16,10,HC/D,0,false,27.291107
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC,27,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC,24,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC,19,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC,19,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/B,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/B,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/B,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/B,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/D,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/D,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/D,0,false,28.903172
Kuredu Zafari,Maldives,,Lhaviyani Atoll,Indo-Pacific,5.5,73.5,1997,8,1997-08-05,1997-08-16,10,HC/D,0,false,28.903172
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC,11,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC,18,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC,9,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC,13,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/B,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/B,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/B,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/B,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/D,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/D,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/D,0,false,27.639812
Lighthouse,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2019,9,2019-09-07,2019-09-16,10,HC/D,0,false,27.639812
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC,8,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC,6,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC,7,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC,10,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/B,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/B,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/B,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/B,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/D,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/D,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/D,0,false,26.51102
Islands,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2004,11,2004-11-22,2004-11-16,8,HC/D,0,false,26.51102
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC,4,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC,2,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC,3,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC,1,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/B,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/B,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/B,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/B,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/D,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/D,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/D,0,false,27.799839
George Dog Island,Virgin Islands (British),,,Atlantic,18.5,-64.5,2002,6,2002-06-26,2002-06-16,10,HC/D,0,false,27.799839
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC,8,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC,4,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC,8,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC,5,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/B,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/B,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/B,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/B,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/D,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/D,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/D,0,false,29.109121
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2017,10,2017-10-23,2017-10-16,3.5,HC/D,0,false,29.109121
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC,18,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC,1,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC,12,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC,13,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/B,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/B,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/B,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/B,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/D,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/D,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/D,0,false,26.630478
Blue Lagoon,Indonesia,Padang Bay,,Indo-Pacific,-8.5,115.5,2003,8,2003-08-20,2003-08-16,10,HC/D,0,false,26.630478
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC,13,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC,17,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC,20,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC,15,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/B,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/B,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/B,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/B,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/D,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/D,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/D,0,false,29.023588
Tinigiban Beach,Philippines,Guimaras,Nueva Valencia,Indo-Pacific,10.5,122.5,2006,8,2006-08-27,2006-08-16,1.7,HC/D,0,false,29.023588
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC,16,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC,11,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC,9,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC,7,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/B,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/B,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/B,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/B,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/D,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/D,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/D,0,false,28.63969
Sandy Island Garden,Grenada,Carriacou,,Atlantic,12.5,-61.5,2019,6,2019-06-19,2019-06-16,11,HC/D,0,false,28.63969
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC,8,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC,6,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC,4,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC,9,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/B,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/B,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/B,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/B,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/D,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/D,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/D,0,false,27.699986
Whirlpool,Grenada,Carriacou,Hillsborough,Atlantic,12.5,-61.5,2018,5,2018-05-23,2018-05-16,9.5,HC/D,0,false,27.699986
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC,30,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC,30,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC,29,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC,25,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/B,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/B,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/B,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/B,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/D,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/D,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/D,0,false,28.694593
Coral Gardens,Virgin Islands (British),Great Dog,,Atlantic,18.5,-64.5,1997,8,1997-08-23,1997-08-16,10,HC/D,0,false,28.694593
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC,11,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC,9,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC,5,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC,14,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/B,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/B,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/B,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/B,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/D,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/D,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/D,0,false,28.127459
Jack-A-Dan,Grenada,Carriacou,,Atlantic,12.5,-61.5,2018,7,2018-07-13,2018-07-16,10,HC/D,0,false,28.127459
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC,11,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC,11,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC,9,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC,11,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/B,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/B,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/B,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/B,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/D,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/D,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/D,0,false,27.261211
Abu Helal,Egypt,South Sinai,Dahab,Red Sea,28.5,34.5,2009,9,2009-09-10,2009-09-16,10,HC/D,0,false,27.261211
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC,12,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC,19,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC,23,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC,20,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC/B,0,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC/B,0,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC/B,0,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC/B,0,false,26.490456
Radisson,French Polynesia,Society Archipelago,Tahiti,Indo-Pacific,-17.5,-149.5,2008,8,2008-08-02,2008-08-16,2,HC/D,0,false,26.490456
